STAT_ID,EXP_2019,EXP_2020,EXP_2021,EXP_2022,EXP_2023,IMP_2019,IMP_2020,IMP_2021,IMP_2022,IMP_2023,BAL_2019,BAL_2020,BAL_2021,BAL_2022,BAL_2023,GWT_2019,GWT_2020,GWT_2021,GWT_2022,GWT_2023,GDP_2019,GDP_2020,GDP_2021,GDP_2022,GDP_2023
US,"73,344.00","74,116.00","95,902.00","109,766.00","93,483.00","61,879.00","57,492.00","73,213.00","81,785.00","58,757.00","11,465.00","16,624.00","22,689.00","27,981.00","34,726.00",2.3,-3.4,5.9,2.1,2.5,"65,051.88","63,078.47","70,152","76,328","76,194"
DE,"8,686.00","9,576.00","11,110.00","10,068.00","8,693.00","19,937.00","20,681.00","21,996.00","23,615.00","19,695.00","-11,251.00","-11,105.00","-10,886.00","-13,547.00","-11,002.00",1.1,-4.6,2.8,2.1,2.7,"46,800.2","46,215.6","50,794.9","51,104","54,763.3"
CA,"5,568.00","5,464.00","6,714.00","7,839.00","6,819.00","5,759.00","4,415.00","6,370.00","8,539.00","5,137.00",-191.00,"1,049.00",344.00,-700.00,"1,682.00",1.9,-5.3,4.6,3.5,,"46,327","43,258","43,100","50,879",
GB,"5,515.00","4,467.00","5,962.00","6,341.00","4,653.00","4,169.00","4,370.00","5,810.00","5,775.00","3,600.00","1,346.00",97.00,152.00,566.00,"1,053.00",1.6,-10.4,8.7,4.3,0.1,"42,354","40,406","46,344","49,327","51,320"
CN,"136,203.00","132,565.00","162,913.00","155,789.00","102,605.00","107,229.00","108,885.00","138,628.00","154,576.00","119,877.00","28,974.00","23,680.00","24,285.00","1,213.00","-17,272.00",5.95,2.24,8.45,2.99,5.24,"10,170.1","10,525","12,572.1","12,642.9","12,513.9"
FR,"3,317.00","2,983.00","4,561.00","5,255.00","4,602.00","5,835.00","5,881.00","6,642.00","7,704.00","6,696.00","-2,518.00","-2,898.00","-2,081.00","-2,449.00","-2,094.00",1.83,-7.9,6.9,2.5,,"41,810","39,907","44,852","42,330",
SE,"1,071.00",921.00,"1,520.00","1,417.00","1,167.00","1,744.00","1,723.00","2,047.00","1,943.00","1,754.00",-673.00,-802.00,-527.00,-526.00,-587.00,0.94,-3.0,4.6,2.9,,"51,241.91","53,719","60,932","55,570",
AT,865.00,"1,066.00","1,301.00","1,421.00",887.00,"1,553.00","1,628.00","1,964.00","2,173.00","1,673.00",-688.00,-562.00,-663.00,-752.00,-786.00,1.5,-6.5,4.6,5.0,,"50,195","48,858","53,529","52,265",
DK,448.00,439.00,744.00,511.00,585.00,893.00,936.00,"1,070.00","1,056.00",845.00,-445.00,-497.00,-326.00,-545.00,-260.00,1.5,-2.4,6.8,2.7,2.6,"59,678.6","60,926.9","69,466.6","68,294.9","68,299.8"
IT,"3,773.00","3,221.00","4,597.00","5,134.00","4,244.00","6,449.00","6,651.00","8,006.00","8,356.00","6,988.00","-2,676.00","-3,430.00","-3,409.00","-3,222.00","-2,744.00",0.48,-8.97,8.31,3.99,0.92,"33,628.16","31,789","36,401.88","35,043.09","38,325.84"
BE,"2,707.00","2,753.00","4,438.00","5,029.00","4,375.00","1,323.00","1,552.00","3,424.00","3,130.00","1,715.00","1,384.00","1,201.00","1,014.00","1,899.00","2,660.00",2.1,-5.7,6.2,3.2,,"46,780","45,545","51,450","50,114",
NL,"4,243.00","3,987.00","5,811.00","7,869.00","6,854.00","4,196.00","6,230.00","9,163.00","8,130.00","8,062.00",47.00,"-2,243.00","-3,352.00",-261.00,"-1,208.00",2.0,-3.9,4.9,4.5,,"52,670","52,460","57,710","56,490",
HU,"2,478.00","2,926.00","4,052.00","6,163.00","6,293.00",496.00,678.00,750.00,796.00,749.00,"1,982.00","2,248.00","3,302.00","5,367.00","5,544.00",4.6,-4.7,7.1,4.6,,"16,778.75","16,089.01","18,687.93",-,
CZ,"2,114.00","2,694.00","2,954.00","3,150.00","2,641.00",852.00,944.00,"1,094.00","1,026.00","1,073.00","1,262.00","1,750.00","1,860.00","2,124.00","1,568.00",3.0,-5.5,3.6,2.3,,"23,616","22,984.5","26,794.6","26,832.3",
RO,562.00,505.00,588.00,526.00,444.00,455.00,531.00,627.00,788.00,787.00,107.00,-26.00,-39.00,-262.00,-343.00,3.8,-3.7,5.2,4.8,,"12,860","12,930","14,700","14,790",
TR,"5,298.00","5,545.00","7,026.00","7,723.00","7,685.00","1,189.00","1,317.00","1,237.00","1,389.00","1,205.00","4,109.00","4,228.00","5,789.00","6,334.00","6,480.00",0.8,1.9,11.4,5.5,,"9,208","8,600","9,601","10,659",
ZA,834.00,666.00,989.00,"1,145.00",819.00,"2,186.00","1,692.00","2,621.00","3,770.00","3,259.00","-1,352.00","-1,026.00","-1,632.00","-2,625.00","-2,440.00",0.1,-6.4,4.9,2.0,,"6,623.6","5,654.8","7,030","6,771",
PL,"5,315.00","5,639.00","6,596.00","7,858.00","7,765.00",771.00,834.00,"1,102.00","1,091.00",937.00,"4,544.00","4,805.00","5,494.00","6,767.00","6,828.00",4.7,-2.2,5.9,3.8,,"15,730","15,720","17,820","18,510",
NZ,"1,392.00","1,463.00","1,924.00","3,490.00","2,017.00","1,300.00","1,182.00","1,541.00","1,856.00","1,333.00",92.00,281.00,383.00,"1,634.00",684.00,2.9,-2.1,5.6,2.3,1.1,"42,330","41,430","48,420","49,850","50,430"
IN,"15,096.00","11,937.00","15,603.00","18,870.00","14,840.00","5,565.00","4,901.00","8,056.00","8,897.00","5,589.00","9,531.00","7,036.00","7,547.00","9,973.00","9,251.00",3.8,-5.8,9.0,6.8,,"2,050.16","1,913.22","2,238.1","2,391.8",
MY,"8,843.00","9,078.00","10,107.00","11,473.00","6,110.00","9,280.00","8,893.00","10,456.00","15,249.00","10,201.00",-437.00,185.00,-349.00,"-3,776.00","-4,091.00",4.5,-5.6,3.1,8.7,,"11,136.81","10,370.7","11,421.7","13,107.9",
JP,"28,420.00","25,098.00","30,062.00","30,606.00","23,994.00","47,581.00","46,023.00","54,642.00","54,712.00","40,015.00","-19,161.00","-20,925.00","-24,580.00","-24,106.00","-16,021.00",-0.4,-4.2,2.2,1.0,,"40,548","40,133","39,933","33,854",
TH,"7,804.00","6,853.00","8,524.00","8,584.00","6,391.00","5,318.00","5,197.00","7,015.00","7,877.00","6,250.00","2,486.00","1,656.00","1,509.00",707.00,141.00,2.3,-6.1,1.6,2.6,,"7,816","7,188","7,256","7,631",
TW,"15,666.00","16,465.00","24,285.00","26,198.00","16,321.00","15,718.00","17,837.00","23,486.00","28,275.00","20,360.00",-52.00,"-1,372.00",799.00,"-2,077.00","-4,039.00",3.1,3.4,6.5,2.4,,"25,903","28,571","33,186","32,687",
AU,"7,891.00","6,189.00","9,750.00","18,753.00","14,990.00","20,608.00","18,707.00","32,918.00","44,929.00","27,282.00","-12,717.00","-12,518.00","-23,168.00","-26,176.00","-12,292.00",1.9,-2.4,4.7,3.7,1.9,"54,464","52,800","58,370","63,833","63,487"
MX,"10,927.00","8,241.00","11,290.00","12,654.00","10,198.00","6,160.00","6,356.00","7,889.00","8,577.00","6,333.00","4,767.00","1,885.00","3,401.00","4,077.00","3,865.00",-0.2,-8.0,4.7,3.1,,"10,025.5","8,533.5","9,869.1","10,867.8",
ES,"2,770.00","2,301.00","2,846.00","3,236.00","2,763.00","2,651.00","1,929.00","2,407.00","2,590.00","2,029.00",119.00,372.00,439.00,646.00,734.00,2.0,-11.2,6.4,5.8,,"29,603","26,968","30,563","29,800",
AE,"3,470.00","3,654.00","3,975.00","3,967.00","3,636.00","8,991.00","5,693.00","7,319.00","15,493.00","13,409.00","-5,521.00","-2,039.00","-3,344.00","-11,526.00","-9,773.00",1.1,-5.0,4.4,7.9,,"43,982","37,649","43,439","51,400",
BR,"4,809.00","3,944.00","4,666.00","4,976.00","1,463.00","4,296.00","4,237.00","6,622.00","7,930.00","2,437.00",513.00,-293.00,"-1,956.00","-2,954.00",-974.00,1.22,-3.3,5.0,2.9,,"8,914","6,970","7,750","9,000",
CO,"1,143.00",593.00,898.00,940.00,583.00,718.00,684.00,704.00,815.00,803.00,425.00,-91.00,194.00,125.00,-220.00,3.3,-6.8,10.6,7.5,,"6,432","5,390.8","6,158.3","6,104",
AR,341.00,332.00,391.00,529.00,403.00,865.00,894.00,"1,824.00","2,572.00","1,207.00",-524.00,-562.00,"-1,433.00","-2,043.00",-804.00,-2.0,-9.9,10.4,5.7,,"10,054.02","8,571.93","10,658.46","12,187",
UA,349.00,394.00,581.00,217.00,312.00,456.00,626.00,309.00,705.00,594.00,-107.00,-232.00,272.00,-488.00,-282.00,3.2,-4.0,2.5,-30.4,,"3,664","3,729","4,880","4,350",
SK,"2,315.00","2,211.00","2,836.00","2,849.00","2,486.00",500.00,871.00,664.00,810.00,785.00,"1,815.00","1,340.00","2,172.00","2,039.00","1,701.00",2.3,-5.2,3.0,1.7,,"19,280","19,070","21,606","20,889",
EG,"1,573.00","1,215.00","1,682.00","1,468.00","1,006.00",282.00,346.00,646.00,"1,691.00",611.00,"1,291.00",869.00,"1,036.00",-223.00,395.00,5.5,3.5,3.3,6.6,,"3,214","3,802","4,415","4,587",
QA,357.00,339.00,420.00,527.00,650.00,"13,037.00","7,562.00","11,611.00","16,567.00","13,138.00","-12,680.00","-7,223.00","-11,191.00","-16,040.00","-12,488.00",0.8,-3.6,1.9,3.4,3.1,"63,008","53,798","68,622","84,425","78,700"
VN,"48,178.00","48,511.00","56,729.00","60,964.00","43,939.00","21,072.00","20,579.00","23,966.00","26,725.00","21,836.00","27,106.00","27,932.00","32,763.00","34,239.00","22,103.00",7.02,2.91,2.58,8.02,,"3,439","3,549","3,753","4,087",
SA,"3,697.00","3,302.00","3,325.00","4,865.00","4,398.00","21,841.00","15,980.00","24,271.00","41,640.00","26,801.00","-18,144.00","-12,678.00","-20,946.00","-36,775.00","-22,403.00",0.8,-4.3,3.9,8.7,,"24,510","20,970","25,460","31,850",
ID,"7,650.00","6,313.00","8,550.00","10,216.00","7,675.00","8,820.00","7,595.00","10,725.00","15,735.00","10,134.00","-1,170.00","-1,282.00","-2,175.00","-5,519.00","-2,459.00",5.02,-2.07,3.69,5.31,,"4,194.1","3,932.3","4,362.7","4,798.1",
FI,308.00,283.00,531.00,316.00,305.00,"1,117.00",849.00,882.00,"1,166.00",871.00,-809.00,-566.00,-351.00,-850.00,-566.00,1.2,-2.4,3.1,2.1,,"48,668","49,168","53,595","50,655",
BG,166.00,157.00,167.00,167.00,147.00,255.00,209.00,436.00,311.00,202.00,-89.00,-52.00,-269.00,-144.00,-55.00,4.0,-4.4,4.2,3.4,1.7,"9,914.3","10,119.9","11,683.9","13,110","16,090"
PH,"8,365.00","7,126.00","9,659.00","12,306.00","6,838.00","3,658.00","3,086.00","3,894.00","5,178.00","3,457.00","4,707.00","4,040.00","5,765.00","7,128.00","3,381.00",6.1,-9.6,6.3,7.6,,"3,485.34","3,298.83","3,571.84","3,493.8",
GR,"1,640.00",863.00,"2,030.00","1,232.00",971.00,528.00,796.00,"1,309.00",902.00,683.00,"1,112.00",67.00,721.00,330.00,288.00,1.9,-9.3,8.4,5.6,,"19,974.37","19,670","19,827","20,615.21",
HR,241.00,97.00,142.00,141.00,91.00,27.00,23.00,34.00,124.00,55.00,214.00,74.00,108.00,17.00,36.00,3.4,-8.5,13.1,6.2,,"15,061","14,222","17,758","18,325",
PK,833.00,"1,073.00","1,546.00","1,199.00",674.00,419.00,226.00,328.00,487.00,190.00,414.00,847.00,"1,218.00",712.00,484.00,3.12,-1.0,5.6,6.0,-0.2,"1,488","1,371","1,555.4","1,550","1,295"
MA,322.00,271.00,310.00,358.00,324.00,160.00,172.00,222.00,260.00,155.00,162.00,99.00,88.00,98.00,169.00,2.9,-7.2,7.9,1.1,2.2,"3,550","3,310","3,820","3,490","3,700"
RU,"7,774.00","6,900.00","9,980.00","6,328.00","5,358.00","14,567.00","10,630.00","17,357.00","14,817.00","7,596.00","-6,793.00","-3,730.00","-7,377.00","-8,489.00","-2,238.00",1.3,-3,4.7,-2.1,,"11,482","10,082.7","12,205.5","15,335.5",
CH,589.00,716.00,855.00,974.00,827.00,"2,980.00","2,749.00","3,360.00","3,244.00","2,427.00","-2,391.00","-2,033.00","-2,505.00","-2,270.00","-1,600.00",1.2,-2.5,4.2,2.1,,"84,473","85,872","92,239","92,371",
RS,142.00,207.00,268.00,233.00,225.00,241.00,168.00,210.00,181.00,98.00,-99.00,39.00,58.00,52.00,127.00,4.2,-0.9,7.5,2.3,,"7,417","7,731","9,215","9,528",
IL,"1,427.00","1,425.00","1,824.00","2,122.00","1,632.00",901.00,"1,078.00","1,600.00","1,603.00","1,273.00",526.00,347.00,224.00,519.00,359.00,3.4,-2.6,8.1,6.5,2,"43,603","43,689","51,420","54,847","52,190"
HK,"31,913.00","30,654.00","37,467.00","27,651.00","19,101.00","1,780.00","1,540.00","2,247.00","1,878.00","1,522.00","30,133.00","29,114.00","35,220.00","25,773.00","17,579.00",-1.19,-6.14,6.3,-3.5,,"48,356.1","46,101","49,660.6","49,464",
SG,"12,768.00","9,828.00","14,149.00","20,205.00","15,135.00","6,660.00","8,438.00","10,691.00","10,348.00","9,525.00","6,108.00","1,390.00","3,458.00","9,857.00","5,610.00",1.3,-5.4,8.9,3.6,,"58,514","52,988","64,961","69,466",
GT,222.00,203.00,384.00,323.00,224.00,64.00,78.00,138.00,131.00,111.00,158.00,125.00,246.00,192.00,113.00,3.35,-1.5,7.5,3.8,3.5,"4,617","4,603","5,024","5,473.2",
NG,760.00,516.00,963.00,887.00,546.00,726.00,750.00,974.00,"1,791.00",854.00,34.00,-234.00,-11.00,-904.00,-308.00,2.2,-1.8,3.6,3.1,,"2,230","2,064","2,062","2,225",
PT,505.00,669.00,744.00,705.00,750.00,287.00,396.00,449.00,481.00,468.00,218.00,273.00,295.00,224.00,282.00,2.68,-8.3,5.74,6.83,2.26,"26,127.2","22,242.4","24,661.2","24,515.3",
CL,"1,214.00",867.00,"1,574.00","1,510.00","1,031.00","3,960.00","3,543.00","4,859.00","6,802.00","6,732.00","-2,746.00","-2,676.00","-3,285.00","-5,292.00","-5,701.00",0.8,-6.1,11.7,2.4,,"14,568","13,068","16,060","15,095",
VE,22.00,19.00,31.00,41.00,9.00,17.00,14.00,15.00,14.00,2.00,5.00,5.00,16.00,27.00,7.00,-27.7,-30,0.5,8,,"2,620","1,570","2,070","3,460",
GE,86.00,98.00,103.00,121.00,166.00,19.00,15.00,11.00,10.00,11.00,67.00,83.00,92.00,111.00,155.00,5,-6.8,10.4,10.1,,"4,696.2","4,255.7","5,023.2","6,671.9",
BY,48.00,55.00,70.00,38.00,53.00,56.00,41.00,82.00,14.00,4.00,-8.00,14.00,-12.00,24.00,49.00,1.2,-0.9,2.3,-4.7,3.9,"6,831.52","6,515.65","7,294.9","7,868.91","7,477.3"
KE,151.00,220.00,258.00,457.00,233.00,44.00,37.00,47.00,76.00,48.00,107.00,183.00,211.00,381.00,185.00,5.2,-0.3,7.5,5.2,,"1,970","1,940","2,070","2,100",
LK,235.00,172.00,288.00,191.00,181.00,100.00,111.00,142.00,145.00,98.00,135.00,61.00,146.00,46.00,83.00,-0.2,-4.6,3.5,-7.8,,"4,082","3,858","3,997","3,474",
EC,479.00,377.00,762.00,771.00,610.00,250.00,91.00,207.00,210.00,187.00,229.00,286.00,555.00,561.00,423.00,-0.48,-7.5,4.2,2.9,,"6,249.39","5,520.36","5,978.91","6,395",
DO,252.00,181.00,311.00,347.00,262.00,89.00,72.00,92.00,101.00,119.00,163.00,109.00,219.00,246.00,143.00,5,-6.7,12.3,4.9,,"8,170","7,170","8,480","10,110",
UZ,"2,338.00","1,704.00","1,879.00","2,184.00","1,986.00",20.00,18.00,22.00,28.00,88.00,"2,318.00","1,686.00","1,857.00","2,156.00","1,898.00",5.5,1.6,7.4,5.7,,"1,800","1,770","2,002","2,255",
PA,"1,713.00","1,369.00","1,570.00","1,170.00","1,001.00",87.00,272.00,458.00,593.00,281.00,"1,626.00","1,097.00","1,112.00",577.00,720.00,3,-17.9,15.3,10,7.5,"15,878","12,616","14,664","16,373","19,350"
